Model                  LogL         AIC AICp      w-AIC        AICc AICcp     w-AICc         BIC BICp      w-BIC
Q.bird+F+I+R5    -27489.732   55241.465 -        0   55379.801 -        0   55758.315 -        0
Q.bird+F+R6      -27494.187   55252.374 -        0   55393.387 -        0   55773.170 -        0
HIVb+F+I+R5      -27509.890   55281.780 -        0   55420.116 -        0   55798.630 -        0
HIVb+F+R5        -27514.178   55288.356 -        0   55424.054 -        0   55801.261 -        0
HIVb+F+I+R4      -27518.686   55295.372 -        0   55428.467 -        0   55804.331 -        0
HIVb+F+I+R6      -27509.492   55284.984 -        0   55428.710 -        0   55809.725 -        0
HIVb+F+R6        -27515.326   55294.651 -        0   55435.663 -        0   55815.447 -        0
mtART+F+R6       -27792.337   55848.674 -        0   55989.686 -        0   56369.470 -        0
mtART+F+R5       -27798.972   55857.944 -        0   55993.641 -        0   56370.849 -        0
mtART+F+I+R6     -27790.391   55846.782 -        0   55990.508 -        0   56371.523 -        0
mtART+F+I+R5     -27801.250   55864.500 -        0   56002.836 -        0   56381.350 -        0
mtART+F+I+R4     -27815.661   55889.321 -        0   56022.416 -        0   56398.281 -        0
mtVer+F+I+R4     -27844.867   55947.734 -        0   56080.830 -        0   56456.694 -        0
mtVer+F+I+R5     -27841.022   55944.043 -        0   56082.379 -        0   56460.893 -        0
mtVer+F+R5       -27844.119   55948.238 -        0   56083.935 -        0   56461.143 -        0
mtVer+F+R6       -27841.329   55946.658 -        0   56087.670 -        0   56467.453 -        0
HIVb+R5          -27932.861   56087.723 -        0   56179.811 -        0   56525.664 -        0
HIVb+I+R5        -27930.216   56084.432 -        0   56178.529 -        0   56526.319 -        0
HIVb+I+R6        -27928.065   56084.131 -        0   56182.333 -        0   56533.909 -        0
HIVb+R6          -27931.910   56089.820 -        0   56185.954 -        0   56535.652 -        0
HIVb+I+R4        -27950.598   56121.195 -        0   56211.306 -        0   56555.191 -        0
FLU+R5           -27969.812   56161.624 -        0   56253.713 -        0   56599.566 -        0
FLU+I+R5         -27967.263   56158.525 -        0   56252.622 -        0   56600.412 -        0
FLU+R6           -27966.487   56158.973 -        0   56255.108 -        0   56604.806 -        0
FLU+I+R6         -27963.782   56155.565 -        0   56253.767 -        0   56605.343 -        0
FLU+I+R4         -27978.348   56176.697 -        0   56266.807 -        0   56610.693 -        0
HIVw+F+I+R5      -27953.835   56169.670 -        0   56308.006 -        0   56686.520 -        0
